NAME,POS,G,A,+/-,PPP,SHP,SOG,HIT,BLK,W,GA,SV,SO,OTL
Nathan MacKinnon,C,45.68001781563124,77.79931134642477,14.070511152004501,34.47474096630298,0.02394733331050384,351.3064828055643,58.1194956782014,44.856004207869304,,,,,
Connor McDavid,C,39.53948578304349,91.1464074322671,10.436956966022553,50.82425158626566,0.24387201103785913,283.01494586987155,47.56661487196796,29.1689112485985,,,,,
Nikita Kucherov,RW,41.26965961837058,85.91301680371708,13.047675152607264,43.605515770944514,0.06590754179782456,257.25981566966226,37.183001701040986,33.67240833896546,,,,,
Zach Werenski,D,20.750300333156286,61.76617456216502,5.047907577119149,25.401252598660804,1.2396496841175946,280.6171292014804,36.11059313993994,118.49336813909846,,,,,
Cale Makar,D,22.405264909197737,63.84222636078236,9.753639902499526,33.651567943883016,1.3811807568137795,225.82523459795328,51.6032431388875,132.45450185858817,,,,,
Quinn Hughes,D,14.957029786692013,76.33562282063853,6.119097708515816,37.135517742695576,0.007718797244153036,215.59359700163708,20.681565951722305,97.89737090147247,,,,,
Macklin Celebrini,C,43.93628095076744,68.0586911936869,-1.2013090404691578,34.368268616240634,0.1450862869733977,294.8259679233703,52.644231742397544,55.54466975752199,,,,,
Evan Bouchard,D,17.791345486977136,66.28548546375629,9.46915772982843,34.71484744742198,1.4880523653577302,228.3196345505178,43.681327848682606,114.93780308212848,,,,,
David Pastrnak,RW,37.15811726165594,67.79834879609179,0.9123589597593651,30.278129657080083,0.01939396087742145,304.3101402328578,80.48835995332257,32.49139802646225,,,,,
Rasmus Dahlin,D,21.516514571000638,56.048979209261475,5.5802227750831,24.6173796200439,0.346977737138792,219.17515902074484,84.28784868547324,100.20359771448499,,,,,
Leon Draisaitl,"C,LW",45.31009106265583,66.448310821752,9.251248118126147,45.69301760205524,0.1663891979306114,233.11230224730772,39.38369976636743,23.932931790310505,,,,,
Jack Eichel,C,31.556159969834194,65.99726854087959,8.385243411397935,34.501350960433314,2.3075518106139117,285.3368960904045,36.65458382033497,48.87087039886305,,,,,
Auston Matthews,C,44.458632454110635,44.93345541356694,3.587153363623882,26.91381581541454,0.18685163787615033,312.2919821018335,57.47347644906629,88.43870696534182,,,,,
Matthew Schaefer,D,25.963000243817095,44.76172237338907,-1.1809051090840392,23.54186680163072,0.10943603624244745,231.37961364997886,46.322555681737526,113.79706764539812,,,,,
Jack Hughes,"C,LW",36.34961994347737,62.524652840535346,2.635396527299814,33.371191963321074,0.9957086640495991,299.34568935584014,12.85038265526296,38.38246324430055,,,,,
Matt Boldy,"LW,RW",40.802233065511395,51.55045566481222,5.528400987098883,29.761955360937467,2.1179849553424845,286.76698205184243,63.35956097785166,65.18068907246118,,,,,
Jason Robertson,"LW,RW",41.3845649530735,54.059336522722205,8.895498244359782,34.915236473615884,0.015482767931086397,282.5331008471525,56.246997647994114,39.46602186711096,,,,,
Lane Hutson,D,11.785470661014495,66.34418419066301,8.599644495937957,26.906464218126104,0.037517132730307254,128.284603005773,38.85870143060267,131.65506764943737,,,,,
Moritz Seider,D,10.941542661990894,48.35170801388925,2.2321092085825573,27.693520048311328,0.25879374603125177,185.86499362733437,144.7093968956308,180.55635425624175,,,,,
Kirill Kaprizov,LW,46.244871568692616,50.88742063819479,5.780520407655452,33.15883684308209,0.004566910941548378,272.08946127192587,49.20677932602686,30.125399112295884,,,,,
Nick Suzuki,C,31.486228272761885,63.51678127533826,6.842121247243784,36.10139480937641,1.0545311075268426,189.6395497343255,64.33665925763546,63.53427324381647,,,,,
Adam Fox,D,13.00186502710148,58.54216370418198,4.083290194139447,30.375561697109784,0.5014261324030092,136.44952764982045,47.044595022318504,109.97030863830756,,,,,
Connor Hellebuyck,G,,,,,,,,,31.38368189616858,156.416297532816,1578.873271552488,4.2977948684928595,7.154079525957839
Jake Sanderson,D,13.799866940770247,43.70390902770185,3.4861550145818954,23.02770917257184,1.315853849890844,178.64045904852625,49.13211161852356,154.67733793824988,,,,,
Andrei Vasilevskiy,G,,,,,,,,,34.02185859390082,142.29164310820252,1469.1717368366005,4.022918466533329,5.2445353515247985
Martin Necas,RW,36.04281439436576,60.33876296948454,9.705181939640774,28.073492262692472,0.0035095337622804207,230.54905466123353,83.6451456960081,29.91901651962618,,,,,
Kyle Connor,LW,39.445446963483526,51.57727275581931,1.2758978878128076,22.75696989929399,1.387357538690454,275.75894376576304,34.7473122805117,29.363212675630304,,,,,
Wyatt Johnston,"C,RW",43.10083120699939,45.61779320843783,5.330446086782892,36.31554534309378,0.300144614296999,226.24309629664887,56.2609988870131,53.44058447516529,,,,,
Roman Josi,D,12.117566809034848,44.19813459850768,-2.7137202770063884,22.698965036721937,0.22871563310894072,203.00684559287868,41.18721925934582,121.49835896511914,,,,,
Darren Raddysh,D,14.726168990466638,45.71498320255529,2.861944025298499,23.393947428752792,0.09816112418335067,199.21859812670883,76.06751463057137,95.61514394702508,,,,,
William Nylander,"C,RW",39.03043743534691,53.15495691959342,1.5737858472438508,29.3519518294128,0.1569338456855366,236.4698764320917,21.565187158743925,31.60570991653061,,,,,
Jakob Chychrun,D,21.313956472340255,33.41432593094282,6.394808521419716,18.60502809651731,0.06091186676022092,218.18109217040416,62.81783838854232,118.05814629746055,,,,,
Jackson LaCombe,D,12.683816776990923,45.17628448752175,-3.19050881863956,19.608664205323738,1.2943903260473093,162.5281296499547,79.06445581166336,137.12085665426775,,,,,
Cutter Gauthier,"C,LW,RW",40.785373153612824,36.89290621111847,-2.1102496794911234,24.323720172984032,0.1483600319441899,312.29662164885366,78.65402803192765,34.839940816852064,,,,,
Josh Morrissey,D,11.320837698786407,48.14840140834229,4.500033327123828,18.851425682205424,0.046122764968601876,165.53263800584654,48.66952414186472,122.59798551573712,,,,,
Mikko Rantanen,"LW,RW",31.18840255730758,60.20135417516889,6.358129489654073,36.26113427180631,0.006499967356892005,198.47782949660558,54.552691471386375,39.538999892465064,,,,,
Leo Carlsson,C,37.17090346956065,48.582086831567814,-2.147224157913599,21.587178685858987,3.9367312886279437,232.6323631008189,27.483991584310647,41.703105852827846,,,,,
Logan Thompson,G,,,,,,,,,31.76840134159351,146.08120444611487,1458.9363304239955,3.7333959803168266,5.80789966460165
Brandt Clarke,D,9.954174633647776,38.93741927248447,2.7409470266759355,15.954747681984703,0.00766206628318345,177.50501071282372,43.675571746167975,172.2972080626045,,,,,
Dylan Guenther,"LW,RW",40.10852978044531,41.512694256398355,2.797612412966891,30.567645794070067,0.2815382318967977,255.27292443859625,71.0313322431816,35.5532070497949,,,,,
Clayton Keller,"LW,RW",28.81346931161476,57.473932344893086,3.4339683629887414,30.141076510324933,0.009128674168890762,229.0370223699993,14.830057062814154,33.288765845840516,,,,,
Shea Theodore,D,9.271116429029322,50.77129136702326,6.604793214209648,22.182623795690176,0.09169256603045617,154.29452630958218,15.882650624286276,100.82458558747871,,,,,
Tage Thompson,"C,RW",40.3369843089284,38.43077090261821,2.154916581462751,22.999718498208672,0.04771158548319313,272.6924924475109,80.69327406792023,43.6579250293898,,,,,
Jet Greaves,G,,,,,,,,,29.395053350972706,148.66165262216398,1471.447499674515,3.5362497396666717,6.401236662256809
Aleksander Barkov,C,24.508377642629654,57.26702211393056,6.165928354974864,31.1005585493711,2.8156745763542603,200.05122044620612,97.94352220550206,57.864243263536174,,,,,
Ilya Sorokin,G,,,,,,,,,24.765636422966175,158.93510483861394,1560.015007777534,2.751357990329894,7.55859089425847
Sidney Crosby,C,33.21378289750917,51.61472770343816,1.4548637121313195,26.022211520579216,0.024783603364081436,214.24624813318079,69.69121773359514,37.0367109582113,,,,,
Alex DeBrincat,"LW,RW",37.40423358812962,40.324906166374085,1.203747415496477,24.485944081133432,0.030683804183132657,273.4450164485577,43.906018829548806,39.99888958720318,,,,,
Igor Shesterkin,G,,,,,,,,,27.8335385035109,148.6574282029507,1475.1368616025304,3.536572485294568,6.79161537412226
Miro Heiskanen,D,9.138764301322894,44.545328698423546,6.591667407862677,20.2316590381636,0.6993987072277998,153.05529379087363,37.66318377376478,132.64721794600882,,,,,
Cole Caufield,"LW,RW",41.70676954535593,38.4597500862252,6.343575089685646,25.98531467481994,0.004683977933488963,266.6048575840376,57.248295381852124,26.032975722262165,,,,,
Noah Dobson,D,10.586621452838354,36.545197301124844,2.675491263132347,7.971409179686249,0.6592106645828225,170.87497130421048,66.52194862604266,174.2145635154078,,,,,
Mark Scheifele,C,33.21642044520006,54.91335268835948,1.7974112297607971,21.47567688554808,0.39802516965106033,179.77095897179123,48.55833166209931,51.209370354216425,,,,,
Artemi Panarin,LW,30.926228980261254,53.90399174963589,1.9075886578163153,27.291841566483466,0.002901493332564315,245.86847857689108,19.28885144464447,18.839832013064754,,,,,
John Carlson,D,7.621500553377213,46.54313647964688,8.654641571906058,18.29143884191869,0.025033003380066775,164.83443029451308,48.31553418243687,116.12199378429742,,,,,
Matthew Tkachuk,"LW,RW",29.44674523409054,53.19492545738524,5.23119878404472,31.09404739305893,0.05402007643343817,236.85044942817268,95.92594520117606,23.075493962079936,,,,,
Charlie McAvoy,D,11.02346726790761,42.762433563114065,-0.6129484195830267,17.513404244718178,0.4249798545105055,138.74340553148258,98.19834341425438,142.80864370964056,,,,,
Mikhail Sergachev,D,10.560214180146476,42.19362864081837,-0.0229876865939984,23.333475926661226,1.0246402711190736,144.87437882518248,53.37702778574666,128.77206938692171,,,,,
Mitch Marner,"C,LW,RW",25.79652489111359,62.985967132969364,7.127518368549135,30.448383277202147,0.9171823774063357,173.96753795644673,38.34231132453179,44.63081267137317,,,,,
Erik Karlsson,D,8.892943462859842,44.40146629872652,1.4910363434513711,20.426762003509126,0.15784825748749753,180.80367560977362,38.26112467468469,92.33298861973633,,,,,
Filip Forsberg,LW,36.06349610829677,39.99028002696422,-2.4154463218038185,25.2936564307477,0.009379609222241903,270.6349804913427,128.2091286801357,40.44938031641076,,,,,
Juuse Saros,G,,,,,,,,,27.4833078371037,176.8648227403512,1623.1206523050118,2.7355275426371697,8.12917304072406
Jake Guentzel,"LW,RW",34.60278315508059,45.78200532425635,9.913464122383408,28.598644487676083,0.35155514125365256,219.1719587278747,41.26255086233299,39.24489776568438,,,,,
Lucas Raymond,RW,29.97065768719051,55.03325122030774,-1.5079464884442748,31.692961120716717,0.22034469995160672,191.1103422944109,50.322686747804404,32.54041997560638,,,,,
Jake Oettinger,G,,,,,,,,,32.39363679871638,145.57029923364885,1395.16159674727,3.77242913854923,5.651590800320905
Brandon Hagel,"LW,RW",34.14212000784575,47.04077186467109,11.792434617458733,12.213748134711635,2.670130913551594,229.48152008818576,55.02742994767875,48.853338764800604,,,,,
Nico Hischier,C,32.328455721909904,41.274551123622004,1.9290774522844274,26.190988254371494,1.4739356697029358,217.22401004131106,55.773632086464985,62.46859412872405,,,,,
Sebastian Aho,C,29.78649443729558,50.248090788531215,7.684726701296536,25.220644437387534,4.68519230767928,207.82350755106782,65.20703101183726,27.9603273893276,,,,,
